trade_date,close,TermStructure,Volume,OI,pct_change,ma5,ma10
2015-04-08,23734.051729134168,-0.019409937888198756,471072.0,243950.0,-0.01940993788819867,23921.9697950811,23985.86193750332
2015-04-09,23113.922111508335,-0.026128266033254157,446250.0,264350.0,-0.026128266033254133,23811.098136172237,23867.473555956567
2015-04-10,23207.881144481944,0.0040650406504065045,290056.0,252222.0,0.00406504065040636,23653.246960776567,23733.112138804303
2015-04-13,23781.031245620972,0.024696356275303644,436216.0,230882.0,0.024696356275303755,23608.146624949237,23703.04524825275
2015-04-14,23809.218955513057,0.001185302252074279,346978.0,230160.0,0.0011853022520742496,23529.221037251402,23708.682790231167
2015-04-15,23762.23943902625,-0.001973164956590371,393332.0,228768.0,-0.0019731649565905007,23534.858579229818,23728.414187155624
2015-04-16,23978.345214865556,0.009094503756425464,403752.0,231006.0,0.00909450375642562,23707.743199901262,23759.420668036917
2015-04-17,23912.573891784028,-0.00274294670846395,455754.0,223514.0,-0.002742946708463978,23848.681749361676,23750.964355069293
2015-04-20,23893.782085189305,-0.0007858546168958742,315406.0,223424.0,-0.0007858546168959535,23871.23191727534,23739.68927111246
2015-04-21,24861.5601248175,0.040503342508847816,645466.0,249908.0,0.040503342508847906,24081.700151136232,23805.460594193988
2015-04-22,24852.16422152014,-0.0003779289493575208,407624.0,255596.0,-0.00037792894935750887,24299.685107635007,23917.271843432583
2015-04-23,25058.874094062085,0.00831758034026465,590976.0,259878.0,0.008317580340264641,24515.790883474314,24111.76704168796
2015-04-24,25293.77167649611,0.009373828271466067,350252.0,260612.0,0.009373828271465934,24792.03044041673,24320.35609488938
2015-04-27,26674.969461208195,0.05460624071322437,565400.0,282960.0,0.0546062407132244,25348.267915620505,24609.7499164481
2015-04-28,26834.699817263332,0.005988023952095809,753416.0,278014.0,0.0059880239520957446,25742.895854109673,24912.29800262313
2015-04-29,26421.280072179445,-0.015406162464985995,631070.0,276042.0,-0.01540616246498594,26056.71902424153,25178.202065938447
2015-04-30,27191.744142563057,0.029160739687055477,666368.0,286622.0,0.02916073968705546,26483.29303394173,25499.541958708196
2015-05-04,28197.105795380696,0.036973047684865236,646306.0,286288.0,0.03697304768486531,27063.959857718648,25927.99514906786
2015-05-05,28197.105795380696,0.0,578286.0,282024.0,0.0,27368.387124553148,26358.327520087
2015-05-06,28178.313988785972,-0.0006664445184938354,657094.0,281686.0,-0.0006664445184938472,27637.10995885767,26690.00290648385
2015-05-07,27633.35159753903,-0.019339779926642216,708452.0,273282.0,-0.019339779926642153,27879.524263929587,26968.12164408574
2015-05-08,27529.996661268055,-0.003740224413464808,600280.0,266520.0,-0.0037402244134648877,27947.17476767059,27215.233900806335
2015-05-11,27736.70653381,0.007508532423208191,537384.0,268844.0,0.007508532423208258,27855.09491535645,27459.527386537724
2015-05-12,27492.41304807861,-0.008807588075880758,535584.0,265060.0,-0.008807588075880779,27714.156365896033,27541.271745224763
2015-05-13,27642.74750083639,0.005468215994531784,516736.0,253226.0,0.005468215994531844,27607.043068306113,27622.076513582066
2015-05-14,26759.532590884446,-0.03195105370496261,544334.0,249864.0,-0.03195105370496265,27432.279266975198,27655.901765452563
2015-05-15,26909.86704364222,0.0056179775280898875,399050.0,247720.0,0.00561797752808979,27308.25334345003,27627.71405556048
2015-05-18,27219.931852455138,0.011522346368715084,514992.0,252364.0,0.011522346368715075,27204.898407179055,27529.99666126792
2015-05-19,26947.45065683167,-0.010010355540214014,428404.0,243788.0,-0.0100103555402139,27095.905928929664,27405.031147413014
2015-05-20,25585.044678714305,-0.050557880055788006,652262.0,220124.0,-0.050557880055788096,26684.365364505247,27145.704216405848
2015-05-21,25951.484907311387,0.014322438486962909,435520.0,217600.0,0.014322438486962907,26522.755827790632,26977.517547383082
2015-05-22,26111.21526336653,0.006154960173787111,436450.0,216892.0,0.0061549601737871384,26363.025471735495,26835.63940759293
2015-05-25,26223.96610293486,0.004318100035984167,426998.0,227568.0,0.004318100035984207,26163.83232183144,26684.365364505415
