trade_date,instrument_type,open,high,low,close,volume,oi,amount
2016-06-23,RU,21572.939811990673,21630.90561533682,21176.840155792008,21321.754664157375,613858.0,360996.0,6793451.54
2016-06-24,RU,21447.347238074024,21534.295943093242,20819.384368490777,20954.637909631783,880730.0,348208.0,9654346.36
2016-06-27,RU,20983.620811304856,21940.056566516265,20964.29887685614,21775.820123702186,791246.0,349972.0,8795953.16
2016-06-28,RU,21659.88851700989,22036.66623875984,21466.66917252274,21853.107861497047,766214.0,352990.0,8632356.72
2016-06-29,RU,21949.717533740622,22075.31010765727,21563.278844766315,21737.176254804755,716572.0,351222.0,8090239.43
2016-06-30,RU,21698.53238590732,22258.86848492007,21659.88851700989,22075.31010765727,786070.0,346216.0,8951777.02
2016-07-01,RU,22046.3272059842,22452.08782940722,21843.44689427269,22123.61494377906,770478.0,338002.0,8832316.26
2016-07-04,RU,22113.9539765547,23447.16745351606,22094.632042105986,23331.23584682377,960566.0,324720.0,11417197.97
2016-07-05,RU,23379.540682945557,23592.081961881428,22394.122026061075,22877.17038727896,873444.0,313060.0,10384381.83
2016-07-06,RU,22799.882649484098,23099.372633439183,21582.60077921503,21582.60077921503,897476.0,313506.0,10280066.66
2016-07-07,RU,21370.059500279163,21988.361402638053,21205.82305746508,21225.144991913796,755692.0,317452.0,8455100.1
2016-07-08,RU,21273.449828035587,21514.974008644527,20365.318908945967,20635.82599122798,763910.0,317434.0,8271806.56
2016-07-11,RU,20829.045335715135,21176.840155792008,20510.23341731133,21022.264680202286,584888.0,312642.0,6317778.52
2016-07-12,RU,21118.874352445862,21447.347238074024,20887.01113906128,21254.12789358687,707402.0,311054.0,7745530.27
2016-07-13,RU,21379.72046750352,22210.56364879828,21186.501123016365,21524.634975868885,988942.0,299402.0,11088983.49
2016-07-14,RU,21621.24464811246,21737.176254804755,21012.60371297793,21659.88851700989,785032.0,292106.0,8699692.24
2016-07-15,RU,22123.61494377906,22316.834288266215,21717.854320356037,22036.66623875984,917242.0,280216.0,10449062.47
2016-07-18,RU,22152.597845452132,22171.919779900847,21447.347238074024,21611.583680888103,661324.0,277252.0,7451697.77
2016-07-19,RU,21505.31304142017,21998.02236986241,21312.093696933018,21940.056566516265,755998.0,280530.0,8483497.51
2016-07-20,RU,21949.717533740622,22529.37556720208,21853.107861497047,22113.9539765547,920826.0,274732.0,10565147.87
2016-07-21,RU,22094.632042105986,22635.646206670015,21872.42979594576,22471.409763855936,761156.0,278802.0,8813849.74
2016-07-22,RU,22413.44396050979,22597.002337772585,22017.344304311126,22065.649140432914,603388.0,267640.0,6967233.67
2016-07-25,RU,22084.97107488163,22200.902681573923,21360.398533054806,21592.261746439388,690816.0,263414.0,7754015.83
2016-07-26,RU,21485.991106971454,21611.583680888103,21167.17918856765,21534.295943093242,590852.0,255776.0,6544070.77
2016-07-27,RU,21524.634975868885,21911.073664843192,21457.00820529838,21601.922713663746,545148.0,240094.0,6111068.35
2016-07-28,RU,21737.176254804755,21872.42979594576,21389.38143472788,21746.837222029113,559444.0,228912.0,6273530.12
2016-07-29,RU,21775.820123702186,21853.107861497047,20867.689204612565,20954.637909631783,602076.0,218736.0,6658704.15
2016-08-01,RU,21012.60371297793,21370.059500279163,20896.672106285638,21225.144991913796,397280.0,199616.0,4343647.4
2016-08-02,RU,20952.256014359504,21218.845355297675,20835.623177699053,21118.874352445862,393426.0,193264.0,4959332.45
2016-08-03,RU,21160.52893696745,21543.751114566076,21027.234266498366,21102.212518637225,568464.0,209868.0,7252071.63
2016-08-04,RU,21160.52893696745,21277.1617736279,20585.695670569516,20885.60867912496,608516.0,222284.0,7648400.05
2016-08-05,RU,20843.95409460337,21327.14727505381,20785.637676273145,21160.52893696745,576574.0,225940.0,7287591.24
2016-08-08,RU,21152.198020063133,21677.04578503516,21052.22701721132,21343.809108862446,689138.0,239214.0,8851816.63
2016-08-09,RU,21393.794610288354,21585.405699087663,20494.05558462202,21018.903349594046,717286.0,245268.0,9125413.43
2016-08-10,RU,20985.579681976775,21193.852604584725,20852.28501150769,21093.881601732908,547046.0,245510.0,6911390.49
2016-08-11,RU,21177.190770776087,21293.823607436538,20935.59418055087,21143.867103158816,545318.0,248120.0,6911921.2
2016-08-12,RU,21127.20526935018,21785.347704791293,21127.20526935018,21718.70036955675,753024.0,279360.0,9698397.02
2016-08-15,RU,21635.39120051357,21976.958793590606,21402.12552719267,21893.649624547426,692068.0,294510.0,9035317.56
2016-08-16,RU,21885.31870764311,22060.267962633785,21660.383951226526,21827.002289312884,661448.0,287476.0,8672812.02
2016-08-17,RU,21827.002289312884,22110.253464059693,21735.362203365385,21768.68587098266,629406.0,294438.0,8267345.43
2016-08-18,RU,21810.340455504247,21851.99504002584,21410.456444096988,21618.729366704934,584956.0,280570.0,7592678.03
2016-08-19,RU,21677.04578503516,21976.958793590606,21618.729366704934,21802.00953859993,608632.0,285942.0,7961795.87
2016-08-22,RU,21768.68587098266,21810.340455504247,21027.234266498366,21043.896100307,640404.0,281276.0,8230557.83
2016-08-23,RU,20993.910598881095,21210.51443839336,20868.946845316324,20877.277762220645,420084.0,282052.0,5313708.25
2016-08-24,RU,20885.60867912496,21168.85985387177,20868.946845316324,21018.903349594046,384478.0,285276.0,4854144.47
2016-08-25,RU,21060.557934115637,21110.543435541545,20310.775412727027,20519.048335334974,618014.0,280986.0,7658483.54
2016-08-26,RU,20544.041086047928,20627.350255091107,20402.415498674523,20494.05558462202,391206.0,281468.0,4814891.08
2016-08-29,RU,20569.033836760882,20685.666673421332,20177.48074225794,20585.695670569516,486948.0,279014.0,5993406.73
2016-08-30,RU,20569.033836760882,20818.961343890416,20394.084581770207,20427.408249387478,494962.0,278858.0,6128661.53
2016-08-31,RU,20444.07008319611,20519.048335334974,20010.86240417158,20085.840656310444,562984.0,293260.0,6858126.77
2016-09-01,RU,20027.52423798022,20660.673922708378,20027.52423798022,20619.01933818679,533510.0,272404.0,6512807.95
2016-09-02,RU,20619.01933818679,20877.277762220645,20552.372002952245,20644.01208889974,477010.0,257852.0,5924071.76
2016-09-05,RU,20718.990341038603,21077.21976792427,20644.01208889974,20943.925097455187,409020.0,258616.0,5131406.17
2016-09-06,RU,20985.579681976775,20993.910598881095,20718.990341038603,20960.58693126382,364774.0,259420.0,4565800.27
2016-09-07,RU,20868.946845316324,21160.52893696745,20743.983091751557,21068.888851019954,540234.0,254508.0,6789504.46
2016-09-08,RU,21102.212518637225,21352.140025766763,20943.925097455187,21285.49269053222,480908.0,263746.0,6105297.34
2016-09-09,RU,21243.83810601063,21427.118277905625,21177.190770776087,21285.49269053222,439644.0,265510.0,5618967.83
2016-09-12,RU,21235.507189106313,21260.499939819267,20527.37925223929,20594.026587473836,565118.0,246834.0,7071125.56
2016-09-13,RU,20644.01208889974,20818.961343890416,20577.3647536652,20727.32125794292,349844.0,240430.0,4346820.71
2016-09-14,RU,20810.6304269861,20985.579681976775,20635.681171995424,20877.277762220645,416298.0,231532.0,5204604.76
2016-09-19,RU,21002.241515785412,21702.038535748114,20669.004839612695,21677.04578503516,531074.0,269762.0,6803887.59
2016-09-20,RU,21693.707618843797,22076.92979644242,21660.383951226526,22035.27521192083,539172.0,287762.0,7084289.16
2016-09-21,RU,22126.915297868327,22168.56988238992,21851.99504002584,22035.27521192083,433294.0,283812.0,5719092.51
2016-09-22,RU,22060.267962633785,22793.388650213758,21910.311458356064,22451.821057136724,809414.0,298522.0,10884054.06
2016-09-23,RU,22510.13747546695,22643.432145936036,22243.548134528777,22576.784810701494,513792.0,304864.0,6924953.67
2016-09-26,RU,22551.79205998854,22660.093979744674,22168.56988238992,22410.166472615136,493918.0,295208.0,6634239.94
2016-09-27,RU,22293.533635954685,22326.857303571956,21827.002289312884,22151.90804858128,559048.0,286318.0,7404212.93
2016-09-28,RU,22068.5988795381,22560.122976892857,21968.62787668629,22426.828306423773,660858.0,299738.0,8859658.04
2016-09-29,RU,22393.5046388065,22993.330655917387,22118.58438096401,22201.89355000719,761750.0,275630.0,10305967.28
2016-09-30,RU,22201.89355000719,22276.871802146048,21943.635125973335,22085.26071334674,409922.0,255360.0,5437891.65
2016-10-10,RU,22660.093979744674,23201.603578525337,22451.821057136724,23051.647074247612,503364.0,283638.0,6910080.05
2016-10-11,RU,23101.63257567352,23734.78226040168,23076.639824960566,23668.134925167138,672820.0,298952.0,9506809.51
2016-10-12,RU,23493.185670176463,23826.422346349176,23426.538334941917,23601.487589932596,497472.0,300826.0,7039506.28
2016-10-13,RU,23501.51658708078,23751.444094210317,23193.272661621017,23368.221916611692,622646.0,292422.0,8761415.02
2016-10-14,RU,23293.243664472833,24192.982690139164,23234.927246142608,23968.04793372258,678166.0,315978.0,9701934.85
