ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
ZN1810.SHF,ZN1810,SHFE,沪锌1810,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-10-17,2018-10-15,201810,2018-10-22
RU0207.SHF,RU0207,SHFE,橡胶0207,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2002-03-29,2002-07-15,200207,2002-07-22
CU0411.SHF,CU0411,SHFE,沪铜0411,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2003-11-18,2004-11-15,200411,2004-11-22
AL0301.SHF,AL0301,SHFE,沪铝0301,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2002-06-13,2003-01-15,200301,2003-01-22
CU9609.SHF,CU9609,SHFE,沪铜9609,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,1996-01-31,1996-09-16,199609,1996-09-23
ZN0902.SHF,ZN0902,SHFE,沪锌0902,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2008-02-18,2009-02-16,200902,2009-02-23
AL1811.SHF,AL1811,SHFE,沪铝1811,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
CU1811.SHF,CU1811,SHFE,沪铜1811,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
ZN1811.SHF,ZN1811,SHFE,沪锌1811,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
PB1811.SHF,PB1811,SHFE,沪铅1811,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
NI1811.SHF,NI1811,SHFE,沪镍1811,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
SN1811.SHF,SN1811,SHFE,沪锡1811,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
RU1811.SHF,RU1811,SHFE,橡胶1811,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
BU1805.SHF,BU1805,SHFE,沥青1805,BU,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2017-11-16,2018-05-15,201805,2018-05-22
AU1812.SHF,AU1812,SHFE,沪金1812,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2017-11-16,2018-12-17,201812,2018-12-24
AG1811.SHF,AG1811,SHFE,沪银1811,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
RB1811.SHF,RB1811,SHFE,螺纹钢1811,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
WR1811.SHF,WR1811,SHFE,线材1811,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-11-16,2018-08-31,201811,2018-11-22
HC1811.SHF,HC1811,SHFE,热轧卷板1811,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-11-16,2018-11-15,201811,2018-11-22
CU9610.SHF,CU9610,SHFE,沪铜9610,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,1996-04-12,1996-10-15,199610,1996-10-22
AL0903.SHF,AL0903,SHFE,沪铝0903,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2008-03-18,2009-03-16,200903,2009-03-23
AL1812.SHF,AL1812,SHFE,沪铝1812,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
PB1812.SHF,PB1812,SHFE,沪铅1812,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
CU1812.SHF,CU1812,SHFE,沪铜1812,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
RB1812.SHF,RB1812,SHFE,螺纹钢1812,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
ZN1812.SHF,ZN1812,SHFE,沪锌1812,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
HC1812.SHF,HC1812,SHFE,热轧卷板1812,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
